Address,Quality,Size,Name
0x0000007100000024,U,000316,_init
0x0000007100000160,U,000052,_fini
0x0000007100000194,U,000008,sub_7100000194
0x000000710000019C,U,000008,sub_710000019C
0x00000071000001AC,U,000004,__nnDetailNintendoSdkRuntimeObjectFileRefer
0x00000071000001B0,U,000004,__nnDetailNintendoSdkRuntimeObjectFile
0x00000071000001B4,U,000080,_ZN4AABB13ThreadStorageC1Ev
0x0000007100000204,U,000004,nullsub_1
0x0000007100000208,U,000016,_ZN4AABB13ThreadStorageD2Ev
0x0000007100000218,U,000096,_ZN4AABB22CreateNewThreadStorageEv
0x0000007100000278,U,000028,_ZN4AABB23UseDefaultThreadStorageEv
0x0000007100000294,U,000092,_ZN4AABB20ReleaseThreadStorageEv
0x00000071000002F0,U,000116,_ZN4AABB12newPermanentEdddddd
0x0000007100000364,U,000004,_ZN4AABB12newPermanentERK8BlockPos
0x0000007100000368,U,000148,sub_7100000368
0x00000071000003FC,U,000008,_ZNK5Vec3i4getXEv
0x0000007100000404,U,000008,_ZNK5Vec3i4getYEv
0x000000710000040C,U,000008,_ZNK5Vec3i4getZEv
0x0000007100000414,U,000144,_ZN4AABB12newPermanentERK8BlockPosRK8BlockPos
0x00000071000004A4,U,000016,_ZN4AABB12newPermanentEPK4AABB
0x00000071000004B4,U,000004,_ZN4AABB9resetPoolEv
0x00000071000004B8,U,000152,_ZN4AABB7newTempEdddddd
0x0000007100000550,U,000144,_ZN4AABB3setEdddddd
0x00000071000005E0,U,000152,_ZN4AABB7newTempERK8BlockPos
0x0000007100000708,U,000016,_ZN4AABB7newTempEPK4AABB
0x0000007100000718,U,000144,_ZN4AABBC1Edddddd
0x00000071000007A8,U,000040,sub_71000007A8
0x00000071000007D0,U,000036,sub_71000007D0
0x00000071000007F4,U,000052,_ZNK4AABB6equalsEPK4AABB
0x0000007100000828,U,000008,sub_7100000828
0x000000710000088C,U,000052,_ZN4AABB3setEPK4AABB
0x00000071000008C0,U,000092,_ZN4AABB8contractEddd
0x000000710000091C,U,000088,_ZNK4AABB6expandEddd
0x0000007100000974,U,000208,sub_7100000974
0x0000007100000A44,U,000212,sub_7100000A44
0x0000007100000B18,U,000060,sub_7100000B18
0x0000007100000B54,U,000052,_ZNK4AABB4growEddd
0x0000007100000B88,U,000012,_ZNK4AABB4growEd
0x0000007100000B94,U,000076,sub_7100000B94
0x0000007100000BE0,U,000076,sub_7100000BE0
0x0000007100000C2C,U,000064,sub_7100000C2C
0x0000007100000C6C,U,000052,sub_7100000C6C
0x0000007100000CA0,U,000196,sub_7100000CA0
0x0000007100000D70,U,000144,sub_7100000D70
0x0000007100000E00,U,000144,sub_7100000E00
0x0000007100000E90,U,000144,sub_7100000E90
0x0000007100000F20,U,000132,_ZNK4AABB10intersectsEPK4AABB
0x0000007100000FA4,U,000152,sub_7100000FA4
0x000000710000103C,U,000068,sub_710000103C
0x0000007100001080,U,000096,_ZNK4AABB8containsERK8BlockPos
0x00000071000010E0,U,000140,_ZNK4AABB8containsEP4Vec3
0x000000710000116C,U,000140,_ZNK4AABB27containsIncludingLowerBoundEP4Vec3
0x00000071000011F8,U,000044,_ZNK4AABB7getSizeEv
0x0000007100001224,U,000016,_ZNK4AABB6shrinkEddd
0x0000007100001234,U,000008,_ZNK4AABB6shrinkEd
0x000000710000123C,U,000456,sub_710000123C
0x0000007100001404,U,000076,sub_7100001404
0x0000007100001450,U,000088,sub_7100001450
0x00000071000014A8,U,000076,sub_71000014A8
0x00000071000014F4,U,000076,sub_71000014F4
0x0000007100001540,U,000096,sub_7100001540
0x00000071000015A0,U,000096,sub_71000015A0
0x0000007100001600,U,000096,sub_7100001600
0x0000007100001660,U,000108,sub_7100001660
0x00000071000016CC,U,000012,sub_71000016CC
0x00000071000016D8,U,000056,sub_71000016D8
0x0000007100001794,U,000040,_ZN9AbilitiesC1Ev
0x00000071000017BC,U,000164,_ZNK9AbilitieseqERKS_
0x0000007100001860,U,000576,_ZN9Abilities11addSaveDataEP11CompoundTag
0x0000007100001AA0,U,000792,_ZN9Abilities12loadSaveDataEP11CompoundTag
0x0000007100001DB8,U,000008,_ZN9Abilities14getFlyingSpeedEv
0x0000007100001DC0,U,000008,_ZN9Abilities14setFlyingSpeedEf
0x0000007100001DC8,U,000008,_ZN9Abilities15getWalkingSpeedEv
0x0000007100001DD0,U,000008,_ZN9Abilities15setWalkingSpeedEf
0x0000007100001DD8,U,000168,_ZN9Abilities5writeEP16DataOutputStream
0x0000007100001E80,U,000192,_ZN9Abilities4readEP15DataInputStream
0x0000007100001F40,U,000052,sub_7100001F40
0x0000007100001F74,U,000120,sub_7100001F74
0x0000007100001FEC,U,000120,sub_7100001FEC
0x0000007100002064,U,000064,sub_7100002064
0x00000071000020A4,U,000056,sub_71000020A4
0x00000071000020DC,U,000096,sub_71000020DC
0x000000710000213C,U,000044,sub_710000213C
0x0000007100002168,U,000108,sub_7100002168
0x00000071000021D4,U,000056,sub_71000021D4
0x000000710000220C,U,000056,sub_710000220C
0x0000007100002244,U,000184,sub_7100002244
0x00000071000022FC,U,000052,sub_71000022FC
0x0000007100002330,U,000056,sub_7100002330
0x0000007100002368,U,000228,sub_7100002368
0x000000710000244C,U,000060,sub_710000244C
0x0000007100002488,U,000604,sub_7100002488
0x00000071000026E4,U,000168,sub_71000026E4
0x000000710000278C,U,000228,sub_710000278C
0x0000007100002870,U,000228,sub_7100002870
0x0000007100002954,U,000236,sub_7100002954
0x0000007100002A40,U,000236,sub_7100002A40
0x0000007100002B2C,U,000236,sub_7100002B2C
0x0000007100002C18,U,000244,sub_7100002C18
0x0000007100002D0C,U,000244,sub_7100002D0C
0x0000007100002E00,U,000236,sub_7100002E00
0x0000007100002EEC,U,000264,sub_7100002EEC
0x0000007100002FF4,U,000240,sub_7100002FF4
0x00000071000030E4,U,000248,sub_71000030E4
0x00000071000031DC,U,000248,sub_71000031DC
